0,1,2,3,4,5,6,7,8
0.0,1979.0,0.0,0.0,3.9594346483768046,1.0,1.9589260502471735,1.0,3.0
0.0,1980.0,0.0,0.0,-0.6509692800471408,1.0,0.8281919351263521,1.0,3.0
0.0,1981.0,0.0,0.0,1.4200120960987268,1.0,0.6037560953163198,1.0,3.0
0.0,1982.0,0.0,0.0,-3.6103167666431277,1.0,-0.6660786968762897,1.0,3.0
0.0,1983.0,0.0,0.0,0.7488196256822475,1.0,0.2696073324065925,1.0,3.0
0.0,1984.0,0.0,0.0,1.1316357058990496,1.0,-0.3281192735897286,1.0,3.0
0.0,1985.0,0.0,0.0,-0.6034389738370707,1.0,-0.6615466801526534,1.0,3.0
0.0,1986.0,0.0,0.0,1.716108689531118,1.0,-0.06461174957703959,1.0,3.0
0.0,1987.0,0.0,1.0,1.2635348961506343,1.0,0.8719558811932266,1.0,3.0
0.0,1988.0,0.0,1.0,-1.6788412715270198,1.0,-0.2965931934834227,1.0,3.0
0.0,1989.0,0.0,1.0,-1.437658202932718,1.0,-1.795571115932728,1.0,3.0
0.0,1990.0,0.0,0.0,1.1068707953188897,1.0,0.004738948845008917,1.0,3.0
0.0,1991.0,0.0,0.0,-0.4547409009437386,1.0,0.5010269302329533,1.0,3.0
0.0,1992.0,0.0,0.0,0.6409833258569042,1.0,1.169656095853206,1.0,3.0
1.0,1979.0,0.0,0.0,-0.5125762505583723,1.0,-0.933844233583074,1.0,3.0
1.0,1980.0,0.0,0.0,-1.2242469250552384,1.0,-0.6900636180399708,1.0,3.0
1.0,1981.0,0.0,0.0,4.158962417643613,1.0,0.5738782329200238,1.0,3.0
1.0,1982.0,0.0,0.0,-3.8577804647055847,1.0,-1.0628462708851172,1.0,3.0
1.0,1983.0,0.0,0.0,-0.28364435775459285,1.0,-0.09268518424568167,1.0,3.0
1.0,1984.0,0.0,0.0,-4.222201529654789,1.0,-1.5451262459414863,1.0,3.0
1.0,1985.0,0.0,0.0,0.12345903958990578,1.0,0.022878474630520285,1.0,3.0
1.0,1986.0,0.0,0.0,2.7000482232711054,1.0,-0.037489341805373666,1.0,3.0
1.0,1987.0,0.0,1.0,-3.049069777731267,1.0,-0.3185246387354668,1.0,3.0
1.0,1988.0,0.0,1.0,2.483781182094102,1.0,0.07462499969013012,1.0,3.0
1.0,1989.0,0.0,1.0,-1.88269681835274,1.0,-0.9105085019715528,1.0,3.0
1.0,1990.0,0.0,0.0,0.8852501254219296,1.0,0.6309201678550866,1.0,3.0
1.0,1991.0,0.0,0.0,1.1928350371906153,1.0,-0.3316838256786577,1.0,3.0
1.0,1992.0,0.0,0.0,-0.5890703442726025,1.0,0.20118163735461134,1.0,3.0
2.0,1979.0,0.0,0.0,-0.9655979464022691,1.0,-0.2709565871064652,1.0,3.0
2.0,1980.0,0.0,0.0,-2.658057080778748,1.0,-1.078891057592238,1.0,3.0
2.0,1981.0,0.0,0.0,-0.5484837970934169,1.0,-0.2594983431958781,1.0,3.0
2.0,1982.0,0.0,0.0,3.3959998930451936,1.0,1.2394064191319316,1.0,3.0
2.0,1983.0,0.0,0.0,-1.3526642343841182,1.0,-0.44980792153429905,1.0,3.0
2.0,1984.0,0.0,0.0,0.4302398918645288,1.0,0.3540451763102021,1.0,3.0
2.0,1985.0,0.0,0.0,-5.627915177420585,1.0,-2.5063293487733134,1.0,3.0
2.0,1986.0,0.0,0.0,2.0802255451890885,1.0,0.05074328611986045,1.0,3.0
2.0,1987.0,0.0,1.0,4.891387866831416,1.0,0.8785727878854717,1.0,3.0
2.0,1988.0,0.0,1.0,-4.397578317396611,1.0,-1.6185159728623266,1.0,3.0
2.0,1989.0,0.0,1.0,-1.4481043709770431,1.0,0.08916640519307184,1.0,3.0
2.0,1990.0,0.0,0.0,3.1481361746583088,1.0,0.34336550224874796,1.0,3.0
2.0,1991.0,0.0,0.0,0.17428884869950512,1.0,0.9274845580734442,1.0,3.0
